"Date","Tonase","Jenis","Breakdown"
2022-01-31 00:00:00.000,2746000.0,Plan,Total Sales
2022-02-28 00:00:00.000,2791200.0,Plan,Total Sales
2022-03-31 00:00:00.000,2988900.0,Plan,Total Sales
2022-04-30 00:00:00.000,2932200.0,Plan,Total Sales
2022-05-31 00:00:00.000,3100500.0,Plan,Total Sales
2022-06-30 00:00:00.000,3018300.0,Plan,Total Sales
2022-07-31 00:00:00.000,3198600.0,Plan,Total Sales
2022-08-31 00:00:00.000,3231600.0,Plan,Total Sales
2022-09-30 00:00:00.000,3187800.0,Plan,Total Sales
2022-10-31 00:00:00.000,3323900.0,Plan,Total Sales
2022-11-30 00:00:00.000,3248400.0,Plan,Total Sales
2022-12-31 00:00:00.000,3332600.0,Plan,Total Sales
2023-01-31 00:00:00.000,3037700.0,Plan,Total Sales
2023-02-28 00:00:00.000,3079633.33,Plan,Total Sales
2023-03-31 00:00:00.000,3071400.0,Plan,Total Sales
2023-04-30 00:00:00.000,3501000.0,Plan,Total Sales
2023-05-31 00:00:00.000,3662000.0,Plan,Total Sales
2023-06-30 00:00:00.000,3574800.0,Plan,Total Sales
2023-07-31 00:00:00.000,3648600.0,Plan,Total Sales
2023-08-31 00:00:00.000,3652200.0,Plan,Total Sales
2023-09-30 00:00:00.000,3557500.0,Plan,Total Sales
2023-10-31 00:00:00.000,3652800.0,Plan,Total Sales
2023-11-30 00:00:00.000,3546900.0,Plan,Total Sales
2023-12-31 00:00:00.000,3518400.0,Plan,Total Sales
2024-01-31 00:00:00.000,3363899.16,Plan,Total Sales
2024-02-29 00:00:00.000,3443180.11,Plan,Total Sales
2024-03-31 00:00:00.000,3646027.45,Plan,Total Sales
2024-04-30 00:00:00.000,3565953.04,Plan,Total Sales
2024-05-31 00:00:00.000,3667877.34,Plan,Total Sales
2024-06-30 00:00:00.000,3572221.41,Plan,Total Sales
2024-07-31 00:00:00.000,2160800.0,Plan,Total Sales
2024-08-31 00:00:00.000,3678752.37,Plan,Total Sales
2024-09-30 00:00:00.000,3572953.04,Plan,Total Sales
2024-10-31 00:00:00.000,3677352.37,Plan,Total Sales
2024-11-30 00:00:00.000,3589553.04,Plan,Total Sales
2024-12-31 00:00:00.000,3654653.37,Plan,Total Sales
2025-01-31 00:00:00.000,4150375.0,Plan,Total Sales
2022-01-31 00:00:00.000,1675000.0,Plan,Total Sales Domestik
2022-02-28 00:00:00.000,1550000.0,Plan,Total Sales Domestik
2022-03-31 00:00:00.000,1602500.0,Plan,Total Sales Domestik
2022-04-30 00:00:00.000,1620000.0,Plan,Total Sales Domestik
2022-05-31 00:00:00.000,1745000.0,Plan,Total Sales Domestik
2022-06-30 00:00:00.000,1727500.0,Plan,Total Sales Domestik
2022-07-31 00:00:00.000,1780000.0,Plan,Total Sales Domestik
2022-08-31 00:00:00.000,1805000.0,Plan,Total Sales Domestik
2022-09-30 00:00:00.000,1897500.0,Plan,Total Sales Domestik
2022-10-31 00:00:00.000,1930000.0,Plan,Total Sales Domestik
2022-11-30 00:00:00.000,1945000.0,Plan,Total Sales Domestik
2022-12-31 00:00:00.000,1867500.0,Plan,Total Sales Domestik
2023-01-31 00:00:00.000,2724566.67,Plan,Total Sales Domestik
2023-02-28 00:00:00.000,2559566.67,Plan,Total Sales Domestik
2023-03-31 00:00:00.000,2785566.67,Plan,Total Sales Domestik
2023-04-30 00:00:00.000,3232666.67,Plan,Total Sales Domestik
2023-05-31 00:00:00.000,3383666.67,Plan,Total Sales Domestik
2023-06-30 00:00:00.000,3316466.67,Plan,Total Sales Domestik
2023-07-31 00:00:00.000,3420266.67,Plan,Total Sales Domestik
2023-08-31 00:00:00.000,3388866.67,Plan,Total Sales Domestik
2023-09-30 00:00:00.000,3339166.67,Plan,Total Sales Domestik
2023-10-31 00:00:00.000,3424466.67,Plan,Total Sales Domestik
2023-11-30 00:00:00.000,3333566.67,Plan,Total Sales Domestik
2023-12-31 00:00:00.000,3280066.67,Plan,Total Sales Domestik
2024-01-31 00:00:00.000,1877000.0,Plan,Total Sales Domestik
2024-02-29 00:00:00.000,1809000.0,Plan,Total Sales Domestik
2024-03-31 00:00:00.000,2096100.0,Plan,Total Sales Domestik
2024-04-30 00:00:00.000,1850500.0,Plan,Total Sales Domestik
2024-05-31 00:00:00.000,2137400.0,Plan,Total Sales Domestik
2024-06-30 00:00:00.000,1944400.0,Plan,Total Sales Domestik
2024-07-31 00:00:00.000,2160800.0,Plan,Total Sales Domestik
2024-08-31 00:00:00.000,2075800.0,Plan,Total Sales Domestik
2024-09-30 00:00:00.000,2147500.0,Plan,Total Sales Domestik
2024-10-31 00:00:00.000,2124400.0,Plan,Total Sales Domestik
2024-11-30 00:00:00.000,2136600.0,Plan,Total Sales Domestik
2024-12-31 00:00:00.000,2228700.0,Plan,Total Sales Domestik
2025-01-31 00:00:00.000,2711375.0,Plan,Total Sales Domestik
2022-01-31 00:00:00.000,1071000.0,Plan,Total Sales Ekspor
2022-02-28 00:00:00.000,1241200.0,Plan,Total Sales Ekspor
2022-03-31 00:00:00.000,1386400.0,Plan,Total Sales Ekspor
2022-04-30 00:00:00.000,1312200.0,Plan,Total Sales Ekspor
2022-05-31 00:00:00.000,1355500.0,Plan,Total Sales Ekspor
2022-06-30 00:00:00.000,1290800.0,Plan,Total Sales Ekspor
2022-07-31 00:00:00.000,1418600.0,Plan,Total Sales Ekspor
2022-08-31 00:00:00.000,1426600.0,Plan,Total Sales Ekspor
2022-09-30 00:00:00.000,1290300.0,Plan,Total Sales Ekspor
2022-10-31 00:00:00.000,1393900.0,Plan,Total Sales Ekspor
2022-11-30 00:00:00.000,1303400.0,Plan,Total Sales Ekspor
2022-12-31 00:00:00.000,1465100.0,Plan,Total Sales Ekspor
2023-01-31 00:00:00.000,313133.33,Plan,Total Sales Ekspor
2023-02-28 00:00:00.000,520066.66,Plan,Total Sales Ekspor
2023-03-31 00:00:00.000,285833.33,Plan,Total Sales Ekspor
2023-04-30 00:00:00.000,268333.33,Plan,Total Sales Ekspor
2023-05-31 00:00:00.000,278333.33,Plan,Total Sales Ekspor
2023-06-30 00:00:00.000,258333.33,Plan,Total Sales Ekspor
2023-07-31 00:00:00.000,228333.33,Plan,Total Sales Ekspor
2023-08-31 00:00:00.000,263333.33,Plan,Total Sales Ekspor
2023-09-30 00:00:00.000,218333.33,Plan,Total Sales Ekspor
2023-10-31 00:00:00.000,228333.33,Plan,Total Sales Ekspor
2023-11-30 00:00:00.000,213333.33,Plan,Total Sales Ekspor
2023-12-31 00:00:00.000,238333.33,Plan,Total Sales Ekspor
2024-01-31 00:00:00.000,1486899.16,Plan,Total Sales Ekspor
2024-02-29 00:00:00.000,1634180.11,Plan,Total Sales Ekspor
2024-03-31 00:00:00.000,1549927.45,Plan,Total Sales Ekspor
2024-04-30 00:00:00.000,1715453.04,Plan,Total Sales Ekspor
2024-05-31 00:00:00.000,1530477.34,Plan,Total Sales Ekspor
2024-06-30 00:00:00.000,1627821.41,Plan,Total Sales Ekspor
2024-07-31 00:00:00.000,0.0,Plan,Total Sales Ekspor
2024-08-31 00:00:00.000,1602952.37,Plan,Total Sales Ekspor
2024-09-30 00:00:00.000,1425453.04,Plan,Total Sales Ekspor
2024-10-31 00:00:00.000,1552952.37,Plan,Total Sales Ekspor
2024-11-30 00:00:00.000,1452953.04,Plan,Total Sales Ekspor
2024-12-31 00:00:00.000,1425953.37,Plan,Total Sales Ekspor
2025-01-31 00:00:00.000,1439000.0,Plan,Total Sales Ekspor
2022-01-31 00:00:00.000,1032881.16,Plan,Avg. Selling Price
2022-02-28 00:00:00.000,955390.57,Plan,Avg. Selling Price
2022-03-31 00:00:00.000,944559.88,Plan,Avg. Selling Price
2022-04-30 00:00:00.000,963020.48,Plan,Avg. Selling Price
2022-05-31 00:00:00.000,894291.46,Plan,Avg. Selling Price
2022-06-30 00:00:00.000,905158.1,Plan,Avg. Selling Price
2022-07-31 00:00:00.000,905091.65,Plan,Avg. Selling Price
2022-08-31 00:00:00.000,831885.26,Plan,Avg. Selling Price
2022-09-30 00:00:00.000,821670.32,Plan,Avg. Selling Price
2022-10-31 00:00:00.000,799304.83,Plan,Avg. Selling Price
2022-11-30 00:00:00.000,814482.31,Plan,Avg. Selling Price
2022-12-31 00:00:00.000,810796.63,Plan,Avg. Selling Price
2023-01-31 00:00:00.000,987390.43,Plan,Avg. Selling Price
2023-02-28 00:00:00.000,981845.88,Plan,Avg. Selling Price
2023-03-31 00:00:00.000,984145.33,Plan,Avg. Selling Price
2023-04-30 00:00:00.000,1015172.37,Plan,Avg. Selling Price
2023-05-31 00:00:00.000,932278.69,Plan,Avg. Selling Price
2023-06-30 00:00:00.000,921996.53,Plan,Avg. Selling Price
2023-07-31 00:00:00.000,936186.32,Plan,Avg. Selling Price
2023-08-31 00:00:00.000,948247.12,Plan,Avg. Selling Price
2023-09-30 00:00:00.000,923061.86,Plan,Avg. Selling Price
2023-10-31 00:00:00.000,929650.15,Plan,Avg. Selling Price
2023-11-30 00:00:00.000,921609.82,Plan,Avg. Selling Price
2023-12-31 00:00:00.000,936870.55,Plan,Avg. Selling Price
2024-01-31 00:00:00.000,973002.94,Plan,Avg. Selling Price
2024-02-29 00:00:00.000,984859.83,Plan,Avg. Selling Price
2024-03-31 00:00:00.000,958731.28,Plan,Avg. Selling Price
2024-04-30 00:00:00.000,985536.88,Plan,Avg. Selling Price
2024-05-31 00:00:00.000,955578.61,Plan,Avg. Selling Price
2024-06-30 00:00:00.000,972380.84,Plan,Avg. Selling Price
2024-07-31 00:00:00.000,971918.51,Plan,Avg. Selling Price
2024-08-31 00:00:00.000,983539.31,Plan,Avg. Selling Price
2024-09-30 00:00:00.000,968801.03,Plan,Avg. Selling Price
2024-10-31 00:00:00.000,1061609.51,Plan,Avg. Selling Price
2024-11-30 00:00:00.000,1061419.7,Plan,Avg. Selling Price
2024-12-31 00:00:00.000,1059686.51,Plan,Avg. Selling Price
2025-01-31 00:00:00.000,907520.22,Plan,Avg. Selling Price
2022-01-31 00:00:00.000,862822.48,Plan,Avg. Selling Price Domestic
2022-02-28 00:00:00.000,812347.5,Plan,Avg. Selling Price Domestic
2022-03-31 00:00:00.000,782476.35,Plan,Avg. Selling Price Domestic
2022-04-30 00:00:00.000,809256.54,Plan,Avg. Selling Price Domestic
2022-05-31 00:00:00.000,788708.38,Plan,Avg. Selling Price Domestic
2022-06-30 00:00:00.000,790005.4,Plan,Avg. Selling Price Domestic
2022-07-31 00:00:00.000,788871.48,Plan,Avg. Selling Price Domestic
2022-08-31 00:00:00.000,754350.06,Plan,Avg. Selling Price Domestic
2022-09-30 00:00:00.000,751087.38,Plan,Avg. Selling Price Domestic
2022-10-31 00:00:00.000,712328.57,Plan,Avg. Selling Price Domestic
2022-11-30 00:00:00.000,739053.77,Plan,Avg. Selling Price Domestic
2022-12-31 00:00:00.000,721358.6,Plan,Avg. Selling Price Domestic
2023-01-31 00:00:00.000,848451.29,Plan,Avg. Selling Price Domestic
2023-02-28 00:00:00.000,842550.33,Plan,Avg. Selling Price Domestic
2023-03-31 00:00:00.000,842045.63,Plan,Avg. Selling Price Domestic
2023-04-30 00:00:00.000,887578.0,Plan,Avg. Selling Price Domestic
2023-05-31 00:00:00.000,814734.56,Plan,Avg. Selling Price Domestic
2023-06-30 00:00:00.000,814944.2,Plan,Avg. Selling Price Domestic
2023-07-31 00:00:00.000,824662.89,Plan,Avg. Selling Price Domestic
2023-08-31 00:00:00.000,815504.04,Plan,Avg. Selling Price Domestic
2023-09-30 00:00:00.000,816462.13,Plan,Avg. Selling Price Domestic
2023-10-31 00:00:00.000,819621.58,Plan,Avg. Selling Price Domestic
2023-11-30 00:00:00.000,819919.38,Plan,Avg. Selling Price Domestic
2023-12-31 00:00:00.000,817919.31,Plan,Avg. Selling Price Domestic
2024-01-31 00:00:00.000,749950.51,Plan,Avg. Selling Price Domestic
2024-02-29 00:00:00.000,741469.88,Plan,Avg. Selling Price Domestic
2024-03-31 00:00:00.000,757569.35,Plan,Avg. Selling Price Domestic
2024-04-30 00:00:00.000,756792.54,Plan,Avg. Selling Price Domestic
2024-05-31 00:00:00.000,757943.58,Plan,Avg. Selling Price Domestic
2024-06-30 00:00:00.000,755760.25,Plan,Avg. Selling Price Domestic
2024-07-31 00:00:00.000,759657.34,Plan,Avg. Selling Price Domestic
2024-08-31 00:00:00.000,761858.9,Plan,Avg. Selling Price Domestic
2024-09-30 00:00:00.000,757711.8,Plan,Avg. Selling Price Domestic
2024-10-31 00:00:00.000,1021076.95,Plan,Avg. Selling Price Domestic
2024-11-30 00:00:00.000,1021754.97,Plan,Avg. Selling Price Domestic
2024-12-31 00:00:00.000,1027802.56,Plan,Avg. Selling Price Domestic
2025-01-31 00:00:00.000,801887.09,Plan,Avg. Selling Price Domestic
2022-01-31 00:00:00.000,1298845.96,Plan,Avg. Selling Price Export
2022-02-28 00:00:00.000,1134021.55,Plan,Avg. Selling Price Export
2022-03-31 00:00:00.000,1131907.59,Plan,Avg. Selling Price Export
2022-04-30 00:00:00.000,1152852.5,Plan,Avg. Selling Price Export
2022-05-31 00:00:00.000,1030213.61,Plan,Avg. Selling Price Export
2022-06-30 00:00:00.000,1059268.95,Plan,Avg. Selling Price Export
2022-07-31 00:00:00.000,1050919.85,Plan,Avg. Selling Price Export
2022-08-31 00:00:00.000,929986.36,Plan,Avg. Selling Price Export
2022-09-30 00:00:00.000,925468.75,Plan,Avg. Selling Price Export
2022-10-31 00:00:00.000,919732.55,Plan,Avg. Selling Price Export
2022-11-30 00:00:00.000,927040.62,Plan,Avg. Selling Price Export
2022-12-31 00:00:00.000,924799.45,Plan,Avg. Selling Price Export
2023-01-31 00:00:00.000,2196297.02,Plan,Avg. Selling Price Export
2023-02-28 00:00:00.000,2352963.35,Plan,Avg. Selling Price Export
2023-03-31 00:00:00.000,2368967.05,Plan,Avg. Selling Price Export
2023-04-30 00:00:00.000,2552327.84,Plan,Avg. Selling Price Export
2023-05-31 00:00:00.000,2361249.31,Plan,Avg. Selling Price Export
2023-06-30 00:00:00.000,2296327.35,Plan,Avg. Selling Price Export
2023-07-31 00:00:00.000,2606725.8,Plan,Avg. Selling Price Export
2023-08-31 00:00:00.000,2656533.03,Plan,Avg. Selling Price Export
2023-09-30 00:00:00.000,2553386.7,Plan,Avg. Selling Price Export
2023-10-31 00:00:00.000,2579821.61,Plan,Avg. Selling Price Export
2023-11-30 00:00:00.000,2510634.08,Plan,Avg. Selling Price Export
2023-12-31 00:00:00.000,2573939.2,Plan,Avg. Selling Price Export
2024-01-31 00:00:00.000,1254575.12,Plan,Avg. Selling Price Export
2024-02-29 00:00:00.000,1254286.93,Plan,Avg. Selling Price Export
2024-03-31 00:00:00.000,1230779.84,Plan,Avg. Selling Price Export
2024-04-30 00:00:00.000,1232288.84,Plan,Avg. Selling Price Export
2024-05-31 00:00:00.000,1231587.35,Plan,Avg. Selling Price Export
2024-06-30 00:00:00.000,1231129.78,Plan,Avg. Selling Price Export
2024-07-31 00:00:00.000,1273569.8,Plan,Avg. Selling Price Export
2024-08-31 00:00:00.000,1270612.22,Plan,Avg. Selling Price Export
2024-09-30 00:00:00.000,1286815.08,Plan,Avg. Selling Price Export
2024-10-31 00:00:00.000,1117057.04,Plan,Avg. Selling Price Export
2024-11-30 00:00:00.000,1119747.58,Plan,Avg. Selling Price Export
2024-12-31 00:00:00.000,1109519.66,Plan,Avg. Selling Price Export
2025-01-31 00:00:00.000,1106555.0,Plan,Avg. Selling Price Export
2022-01-31 00:00:00.000,2091660.1,Actual,Total Sales
2022-02-28 00:00:00.000,2056355.83,Actual,Total Sales
2022-03-31 00:00:00.000,2818667.63,Actual,Total Sales
2022-04-30 00:00:00.000,2728947.26,Actual,Total Sales
2022-05-31 00:00:00.000,2654839.01,Actual,Total Sales
2022-06-30 00:00:00.000,2273833.86,Actual,Total Sales
2022-07-31 00:00:00.000,2605831.36,Actual,Total Sales
2022-08-31 00:00:00.000,2963096.08,Actual,Total Sales
2022-09-30 00:00:00.000,3312228.82,Actual,Total Sales
2022-10-31 00:00:00.000,2960079.2,Actual,Total Sales
2022-11-30 00:00:00.000,2505290.98,Actual,Total Sales
2022-12-31 00:00:00.000,2682803.66,Actual,Total Sales
2023-01-31 00:00:00.000,3043288.96,Actual,Total Sales
2023-02-28 00:00:00.000,3055737.3,Actual,Total Sales
2023-03-31 00:00:00.000,3352099.87,Actual,Total Sales
2023-04-30 00:00:00.000,2998080.14,Actual,Total Sales
2023-05-31 00:00:00.000,2511115.99,Actual,Total Sales
2023-06-30 00:00:00.000,3116288.53,Actual,Total Sales
2023-07-31 00:00:00.000,3293657.72,Actual,Total Sales
2023-08-31 00:00:00.000,3048437.67,Actual,Total Sales
2023-09-30 00:00:00.000,3233981.37,Actual,Total Sales
