,ds,y,jenis,Breakdown
0,2022-01-01,2091660.1,Actual,Total SALES
1,2022-02-01,2056355.83,Actual,Total SALES
2,2022-03-01,2818667.63,Actual,Total SALES
3,2022-04-01,2728947.26,Actual,Total SALES
4,2022-05-01,2654839.01,Actual,Total SALES
5,2022-06-01,2273833.86,Actual,Total SALES
6,2022-07-01,2605831.3600000003,Actual,Total SALES
7,2022-08-01,2963096.08,Actual,Total SALES
8,2022-09-01,3312228.82,Actual,Total SALES
9,2022-10-01,2960079.2,Actual,Total SALES
10,2022-11-01,2505290.98,Actual,Total SALES
11,2022-12-01,2682803.66,Actual,Total SALES
12,2023-01-01,3043288.96,Actual,Total SALES
13,2023-02-01,3055737.3,Actual,Total SALES
14,2023-03-01,3352099.87,Actual,Total SALES
15,2023-04-01,2998080.14,Actual,Total SALES
16,2023-05-01,2511115.9899999998,Actual,Total SALES
17,2023-06-01,3116288.53,Actual,Total SALES
18,2023-07-01,3293657.72,Actual,Total SALES
19,2023-08-01,3048437.67,Actual,Total SALES
20,2023-09-01,3233981.37,Actual,Total SALES
21,2023-10-01,3354324.99,Actual,Total SALES
22,2023-11-01,3213940.87,Actual,Total SALES
23,2023-12-01,3403811.56,Actual,Total SALES
24,2024-01-01,3363549.28,Actual,Total SALES
25,2024-02-01,3066871.59,Actual,Total SALES
26,2024-03-01,3216894.33,Actual,Total SALES
27,2024-04-01,3280380.33,Actual,Total SALES
28,2024-05-01,3633723.23,Actual,Total SALES
29,2024-06-01,3493225.6,Actual,Total SALES
30,2024-07-01,1763647.2,Actual,Total SALES
31,2024-08-01,1754440.46,Actual,Total SALES
32,2022-01-01,2609851.2,Forecast,Total SALES
33,2022-02-01,2593301.4,Forecast,Total SALES
34,2022-03-01,2734183.21,Forecast,Total SALES
35,2022-04-01,2720478.96,Forecast,Total SALES
36,2022-05-01,2728141.74,Forecast,Total SALES
37,2022-06-01,2743289.8,Forecast,Total SALES
38,2022-07-01,2683506.05,Forecast,Total SALES
39,2022-08-01,2700408.7,Forecast,Total SALES
40,2022-09-01,2833406.72,Forecast,Total SALES
41,2022-10-01,2834991.59,Forecast,Total SALES
42,2022-11-01,2795518.39,Forecast,Total SALES
43,2022-12-01,2838392.68,Forecast,Total SALES
44,2023-01-01,2828523.31,Forecast,Total SALES
45,2023-02-01,2810287.76,Forecast,Total SALES
46,2023-03-01,2929716.37,Forecast,Total SALES
47,2023-04-01,2924211.14,Forecast,Total SALES
48,2023-05-01,2922783.06,Forecast,Total SALES
49,2023-06-01,2946397.33,Forecast,Total SALES
50,2023-07-01,2878293.21,Forecast,Total SALES
51,2023-08-01,2905335.76,Forecast,Total SALES
52,2023-09-01,3045936.41,Forecast,Total SALES
53,2023-10-01,3038279.34,Forecast,Total SALES
54,2023-11-01,3006729.58,Forecast,Total SALES
55,2023-12-01,3041886.98,Forecast,Total SALES
56,2024-01-01,3040064.87,Forecast,Total SALES
57,2024-02-01,3027910.19,Forecast,Total SALES
58,2024-03-01,3125165.76,Forecast,Total SALES
59,2024-04-01,3121580.17,Forecast,Total SALES
60,2024-05-01,3120975.44,Forecast,Total SALES
61,2024-06-01,3145689.98,Forecast,Total SALES
62,2024-07-01,3076261.59,Forecast,Total SALES
63,2024-08-01,3099331.76,Forecast,Total SALES
64,2024-09-01,3240722.47,Forecast,Total SALES
65,2024-10-01,3236944.94,Forecast,Total SALES
66,2024-11-01,3205651.09,Forecast,Total SALES
67,2024-12-01,3240063.59,Forecast,Total SALES
68,2025-01-01,3238047.01,Forecast,Total SALES
69,2025-02-01,3223973.7,Forecast,Total SALES
70,2025-03-01,3307512.81,Forecast,Total SALES
71,2025-04-01,3308657.98,Forecast,Total SALES
72,2025-05-01,3302386.36,Forecast,Total SALES
73,2025-06-01,3332110.51,Forecast,Total SALES
74,2025-07-01,3257675.93,Forecast,Total SALES
75,2025-08-01,3287462.56,Forecast,Total SALES
76,2022-01-01,2609851.2,cumulative forecast,Total SALES
77,2022-02-01,5203152.6,cumulative forecast,Total SALES
78,2022-03-01,7937335.81,cumulative forecast,Total SALES
79,2022-04-01,10657814.77,cumulative forecast,Total SALES
80,2022-05-01,13385956.51,cumulative forecast,Total SALES
81,2022-06-01,16129246.31,cumulative forecast,Total SALES
82,2022-07-01,18812752.36,cumulative forecast,Total SALES
83,2022-08-01,21513161.06,cumulative forecast,Total SALES
84,2022-09-01,24346567.78,cumulative forecast,Total SALES
85,2022-10-01,27181559.37,cumulative forecast,Total SALES
86,2022-11-01,29977077.76,cumulative forecast,Total SALES
87,2022-12-01,32815470.44,cumulative forecast,Total SALES
88,2023-01-01,2828523.31,cumulative forecast,Total SALES
89,2023-02-01,5638811.07,cumulative forecast,Total SALES
90,2023-03-01,8568527.44,cumulative forecast,Total SALES
91,2023-04-01,11492738.58,cumulative forecast,Total SALES
92,2023-05-01,14415521.64,cumulative forecast,Total SALES
93,2023-06-01,17361918.97,cumulative forecast,Total SALES
94,2023-07-01,20240212.18,cumulative forecast,Total SALES
95,2023-08-01,23145547.94,cumulative forecast,Total SALES
96,2023-09-01,26191484.35,cumulative forecast,Total SALES
97,2023-10-01,29229763.69,cumulative forecast,Total SALES
98,2023-11-01,32236493.27,cumulative forecast,Total SALES
99,2023-12-01,35278380.25,cumulative forecast,Total SALES
100,2024-01-01,3040064.87,cumulative forecast,Total SALES
101,2024-02-01,6067975.06,cumulative forecast,Total SALES
102,2024-03-01,9193140.82,cumulative forecast,Total SALES
103,2024-04-01,12314720.99,cumulative forecast,Total SALES
104,2024-05-01,15435696.43,cumulative forecast,Total SALES
105,2024-06-01,18581386.41,cumulative forecast,Total SALES
106,2024-07-01,21657648.0,cumulative forecast,Total SALES
107,2024-08-01,24756979.76,cumulative forecast,Total SALES
108,2024-09-01,27997702.23,cumulative forecast,Total SALES
109,2024-10-01,31234647.17,cumulative forecast,Total SALES
110,2024-11-01,34440298.26,cumulative forecast,Total SALES
111,2024-12-01,37680361.85,cumulative forecast,Total SALES
112,2025-01-01,3238047.01,cumulative forecast,Total SALES
113,2025-02-01,6462020.71,cumulative forecast,Total SALES
114,2025-03-01,9769533.52,cumulative forecast,Total SALES
115,2025-04-01,13078191.5,cumulative forecast,Total SALES
116,2025-05-01,16380577.86,cumulative forecast,Total SALES
117,2025-06-01,19712688.37,cumulative forecast,Total SALES
118,2025-07-01,22970364.3,cumulative forecast,Total SALES
119,2025-08-01,26257826.86,cumulative forecast,Total SALES
